Workout Type,Exercise
Chest,Incline Barbell
Chest,Decline Barbell
Chest,Flat Chest Press Machine
Chest,Incline Chest Press Machine
Chest,Decline Chest Press Machine
Chest,Dips on parallel bar
Chest,Push-Ups
Chest,Flat Dumbbell Flyes
Chest,Incline Dumbbell Flyes
Chest,Decline Dumbbell Flyes
Chest,Pec Deck Machine
Chest,Cable Crossovers/Cable Flyes
Chest,Dumbbell Bench Press
Back,Pull-Ups
Back,Chin-Ups
Back,Lat Pull-Downs
Back,Bent Over Barbell 
Back,T-Bar Rows
Back,Seated Cable Rows
Back,Chest Supported Barbell
Back,Chest Supported Machine Rows
Back,Inverted Rows
Back,Barbell Shrugs
Back,Dumbbell Rows
Back,Machine Shrugs
Back,Dumbbell Shrugs
Shoulder,Seated Overhead Barbell
Shoulder,Standing Overhead Barbell
Shoulder,Overhead Machine Press
Shoulder,Arnold Press
Shoulder,Seated Overhead Dumbbell Press
Shoulder,Standing Overhead Dumbbell Press
Shoulder,Barbell Upright Rows
Shoulder,Dumbbell Upright Rows
Shoulder,Machine Upright Rows
Shoulder,Dumbbell Lateral Raises
Shoulder,Cable Lateral Raises
Shoulder,Matchine Lateral Raises
Shoulder,Dumbbell Front Raises
Shoulder,Cable Front Raises
Shoulder,Machine Front Raises
Shoulder,Barbell Rear Delt Rows
Shoulder,Machine Rear Delt Rows
Shoulder,Dumbbell Rear Delt Rows
Quadriceps,Barbell Squats
Quadriceps,Dumbbell Squats
Quadriceps,Barbell Front Squats
Quadriceps,Dumbbell Front Squats
Quadriceps,Barbell Split Squats
Quadriceps,Dumbbell Split Squats
Quadriceps,Barbell Lunges
Quadriceps,Dumbbell Lunges
Quadriceps,Barbell Step-Ups
Quadriceps,Dumbbell Step-Ups
Quadriceps,Leg Press
Quadriceps,Single Leg Press
Quadriceps,Machine Squat/Hack Squat
Quadriceps,Leg Extensions
Hamstring,Barbell  Romanian Deadlifts
Hamstring,Dumbbell Romanian Deadlifts
Hamstring,Barbell Straight Leg Deadlifts  
Hamstring,Barbell or Dumbbell Sumo Deadlifts
Hamstring,Dumbbell Straight Leg Deadlifts
Hamstring,Glute-Ham Raises
Hamstring,Hyperextensions
Hamstring,Cable Pull-Throughs
Hamstring,Good-Mornings
Hamstring,Leg Curls
Biceps,Standing Barbell Curls 
Biceps,Standing Dumbbell Curls
Biceps,Barbell Preacher Curls
Biceps,Dumbbell Preacher Curls
Biceps,Seated Dumbbell Curls
Biceps,Incline Dumbbell Curls
Biceps,Hammer Curls
Biceps,Concentration Curls
Biceps,Cable Curls
Biceps,Biceps Curl Machine
Triceps,Dips on parallel bar
Triceps,Flat Close Grip Bench Press
Triceps,Decline Close Grip Bench Press
Triceps,Close Grip Push-Ups
Triceps,Laying Barbell Triceps Extensions 
Triceps,Laying Dumbbell Triceps Extensions
Triceps,Skull Crushers
Triceps,Overhead Barbell Triceps Extensions
Triceps,Overhead Dumbbell Triceps Extensions
Triceps,Cable Press-Downs
Triceps,Bench Dips
